Pablo Rosa,prosa@gmail.com,78526321,1
Juan Marroquin,jmarroquinma@gmail.com,31613125,1
Ana Álvarez,aalvarez@gmail.com,45612309,1
Javier Rucal,jrucal@outlook.com,96325871,2
Estuardo Hill,ehill@hotmail.com,48965132,2
Daniella Artemi,dartemi@gmail.com,45612395,2
Carlos Escobar,cescobar@uvg.edu.gt,96325647,3
Óscar Melchor,omelchor@gmail.com,98456132,3
Sofía Ponce,sponce@uvg.edu.gt,98745612,3
Rodrigo Ayala,rayala@gmail.com,98795166,4
Amy Argueta,aargueta@gmail.com,99968578,4
Marian López,mlopez@hotmail.com,48956123,4
